xa,ya,za,xg,yg,zg,xm,ym,zm,temp,hum
0.010,-0.050,0.993,0.000,2.319,-1.648,-9.985,29.468,-29.297,19.918,43.813
0.009,-0.049,0.993,0.061,2.197,-1.953,-10.120,29.639,-29.370,19.918,43.845
0.010,-0.050,0.994,-0.122,2.441,-1.709,-9.485,29.431,-28.833,19.918,43.794
0.009,-0.050,0.993,0.122,2.441,-1.648,-9.729,29.517,-29.749,19.882,43.765
0.011,-0.052,0.992,0.183,2.319,-1.709,-9.680,29.700,-29.114,19.936,43.825
0.009,-0.047,0.997,0.000,2.197,-1.892,-9.363,29.297,-30.554,19.936,43.758
0.010,-0.051,0.994,0.000,2.380,-1.648,-9.741,29.590,-29.626,19.936,43.746
0.009,-0.050,0.994,-0.061,2.380,-1.770,-9.644,29.736,-28.918,19.900,43.806
0.010,-0.051,0.993,-0.244,2.258,-1.892,-9.778,29.138,-29.541,19.918,43.800
0.010,-0.050,0.994,0.000,2.197,-1.831,-9.937,29.395,-29.834,19.936,43.794
0.009,-0.050,0.994,-0.183,2.380,-1.709,-9.741,29.639,-29.761,19.936,43.736
0.010,-0.050,0.994,0.122,2.380,-1.770,-9.900,29.175,-29.639,19.936,43.816
0.010,-0.049,0.994,-0.061,2.136,-1.770,-9.143,29.211,-30.115,19.918,43.835
0.010,-0.049,0.994,0.122,2.380,-1.892,-9.473,29.431,-29.248,19.918,43.762
0.010,-0.050,0.994,-0.122,2.319,-1.831,-9.680,29.297,-29.749,19.936,43.790
0.010,-0.050,0.993,-0.061,2.197,-1.892,-9.778,29.773,-30.054,19.918,43.794
0.011,-0.050,0.993,-0.122,2.075,-1.953,-10.095,29.932,-29.211,19.882,43.841
0.010,-0.049,0.993,-0.061,2.197,-1.892,-9.717,29.932,-29.236,19.900,43.781
0.010,-0.048,0.993,0.122,2.258,-1.831,-9.473,29.602,-29.175,19.900,43.730
0.010,-0.050,0.993,0.061,2.136,-1.892,-9.888,29.236,-29.333,19.900,43.809
0.009,-0.049,0.993,-0.183,2.197,-1.831,-9.290,30.017,-29.919,19.900,43.790
0.010,-0.049,0.993,0.000,2.441,-1.831,-9.900,29.846,-28.870,19.918,43.733
0.010,-0.049,0.994,0.183,2.258,-1.587,-9.949,29.724,-30.078,19.900,43.768
0.011,-0.050,0.993,0.000,2.197,-1.953,-10.217,29.663,-30.078,19.918,43.695
0.009,-0.049,0.994,-0.061,2.258,-1.770,-10.046,29.541,-29.700,19.936,43.771
0.010,-0.050,0.993,0.000,2.441,-1.648,-9.802,30.029,-29.443,19.882,43.784
0.010,-0.050,0.993,-0.183,2.075,-1.953,-9.839,29.944,-30.139,19.936,43.749
0.010,-0.049,0.995,-0.244,2.258,-1.953,-9.668,29.932,-28.992,19.900,43.723
0.010,-0.049,0.995,0.000,2.197,-1.770,-9.692,29.602,-29.590,19.900,43.730
0.010,-0.051,0.992,0.183,2.319,-1.953,-9.729,29.919,-29.077,19.954,43.778
0.010,-0.050,0.993,0.000,2.197,-2.014,-9.595,29.468,-29.736,19.936,43.711
0.010,-0.050,0.993,0.061,2.563,-1.648,-9.644,29.675,-30.066,19.918,43.746
0.009,-0.048,0.993,0.183,2.197,-1.892,-9.290,29.565,-30.139,19.936,43.797
0.010,-0.049,0.994,0.000,2.441,-1.892,-9.814,29.236,-29.395,19.936,43.698
0.010,-0.049,0.993,-0.061,2.380,-1.709,-9.924,29.688,-29.333,19.900,43.822
0.010,-0.045,0.991,-0.244,2.380,-1.892,-9.619,29.272,-29.150,19.936,43.781
0.010,-0.051,0.994,-0.183,2.319,-1.831,-9.558,29.529,-30.200,19.936,43.806
0.010,-0.050,0.994,0.061,2.380,-1.831,-9.241,29.553,-28.894,19.918,43.746
0.010,-0.049,0.994,0.000,2.258,-1.953,-9.485,29.358,-30.090,19.918,43.838
0.010,-0.049,0.994,-0.122,2.380,-1.892,-8.716,29.126,-29.321,19.900,43.714
0.009,-0.049,0.994,0.061,2.258,-1.953,-9.387,29.358,-30.286,19.936,43.806
0.010,-0.050,0.994,-0.122,2.319,-1.831,-9.595,29.309,-29.456,19.900,43.816
0.011,-0.050,0.994,-0.244,2.319,-1.770,-9.705,29.272,-29.993,19.936,43.790
0.009,-0.050,0.994,0.061,2.197,-1.892,-9.851,29.651,-30.164,19.936,43.711
0.010,-0.051,0.994,-0.183,2.258,-1.892,-9.448,29.553,-29.407,19.936,43.784
0.010,-0.049,0.992,-0.122,2.319,-1.953,-9.375,29.724,-29.260,19.900,43.758
0.009,-0.049,0.993,0.061,2.380,-1.648,-9.253,29.224,-29.834,19.936,43.752
0.010,-0.050,0.993,-0.122,2.441,-1.770,-9.741,29.431,-30.835,19.918,43.695
0.010,-0.049,0.994,-0.244,2.380,-1.648,-9.570,29.700,-29.504,19.918,43.656
0.011,-0.047,0.993,-0.061,2.319,-1.892,-9.741,29.651,-30.347,19.900,43.717
0.010,-0.050,0.993,-0.061,2.258,-1.831,-9.558,29.419,-29.102,19.900,43.742
0.010,-0.051,0.993,0.061,2.563,-1.709,-9.387,29.639,-30.286,19.936,43.704
0.010,-0.050,0.993,0.122,2.319,-1.709,-9.387,30.017,-29.285,19.900,43.691
0.010,-0.051,0.993,0.061,2.319,-1.587,-9.363,29.199,-29.321,19.882,43.739
0.010,-0.050,0.994,0.000,2.319,-1.831,-9.619,29.456,-30.200,19.918,43.755
0.009,-0.048,0.994,0.000,2.380,-1.831,-9.448,29.358,-29.004,19.918,43.643
0.010,-0.050,0.992,0.061,2.258,-1.892,-9.656,29.602,-28.430,19.900,43.739
0.011,-0.050,0.994,-0.122,2.258,-1.831,-9.204,29.614,-29.358,19.918,43.736
0.010,-0.052,0.994,-0.061,2.197,-1.709,-8.789,29.297,-29.639,19.918,43.711
0.009,-0.047,0.994,0.122,2.380,-1.709,-8.752,29.553,-29.187,19.882,43.726
0.009,-0.049,0.993,0.122,2.319,-1.831,-9.070,29.468,-28.735,19.900,43.720
0.009,-0.048,0.993,0.000,2.319,-1.709,-9.863,29.797,-29.138,19.900,43.746
0.010,-0.051,0.993,-0.061,2.319,-1.831,-8.826,29.285,-29.675,19.900,43.714
0.009,-0.051,0.993,-0.061,2.258,-1.709,-9.314,29.321,-30.420,19.918,43.650
0.009,-0.050,0.993,0.000,2.380,-1.831,-9.290,29.504,-29.810,19.900,43.714
0.010,-0.049,0.993,0.305,2.258,-1.831,-9.241,29.797,-28.845,19.882,43.698
0.009,-0.048,0.993,0.000,2.258,-2.014,-9.497,29.736,-29.260,19.918,43.711
0.011,-0.050,0.993,0.000,2.258,-1.831,-9.558,30.249,-28.284,19.936,43.698
0.010,-0.049,0.994,0.000,2.319,-1.831,-9.436,29.504,-29.895,19.918,43.746
0.011,-0.050,0.993,0.000,2.258,-2.014,-9.558,29.456,-30.212,19.918,43.755
0.010,-0.050,0.993,-0.122,2.441,-1.587,-8.716,29.675,-29.980,19.918,43.736
0.010,-0.051,0.993,-0.122,2.319,-1.892,-9.192,29.785,-28.113,19.900,43.672
0.009,-0.048,0.994,0.122,2.258,-1.892,-8.655,29.297,-28.503,19.900,43.736
0.009,-0.050,0.993,-0.122,2.380,-1.709,-9.302,29.553,-29.736,19.918,43.742
0.011,-0.050,0.995,0.000,2.380,-1.831,-10.083,29.395,-29.736,19.900,43.675
0.009,-0.049,0.993,0.183,2.380,-1.648,-9.680,29.932,-29.333,19.918,43.691
0.009,-0.049,0.993,0.061,2.197,-1.892,-9.192,29.956,-29.016,19.918,43.746
0.009,-0.049,0.994,-0.183,2.136,-1.770,-9.460,29.346,-29.858,19.936,43.726
0.010,-0.050,0.992,0.244,2.258,-1.770,-9.900,30.066,-29.956,19.936,43.675
0.010,-0.049,0.993,-0.061,2.319,-1.953,-9.814,29.260,-29.883,19.918,43.726
0.010,-0.049,0.993,-0.183,2.319,-1.709,-9.290,29.590,-28.796,19.864,43.695
0.010,-0.050,0.994,0.000,2.319,-1.892,-9.399,29.907,-28.833,19.918,43.698
0.009,-0.049,0.994,0.000,2.319,-1.770,-9.607,29.163,-29.810,19.918,43.714
0.011,-0.050,0.994,0.183,2.258,-1.770,-9.106,29.187,-29.797,19.936,43.707
0.009,-0.048,0.993,0.061,2.441,-1.770,-9.741,28.857,-30.750,19.918,43.711
0.010,-0.050,0.995,0.061,2.197,-1.892,-9.290,29.407,-29.529,19.900,43.746
0.010,-0.049,0.993,0.244,2.502,-1.770,-9.851,29.285,-29.614,19.918,43.640
0.010,-0.050,0.994,-0.183,2.319,-1.831,-9.485,29.211,-29.932,19.936,43.685
0.010,-0.050,0.993,0.122,2.319,-1.648,-9.363,29.309,-30.530,19.900,43.650
